product_key,sku,product_name,product_class_id,subcategory,category,department,product_family,size,brand_name,manufacturer,supplier
1,42081001,"Jambalaya Rice Mix",NULL,"Rice/Rice Mix","Rice/Rice Mix",NULL,NULL,"12 oz",Zatarains,Zatarains,RowanWarehouse
2,42082001,"Jambalaya Rice Mix",NULL,"Rice/Rice Mix","Rice/Rice Mix",NULL,NULL,"8 oz",Zatarains,Zatarains,RowanWarehouse
3,42083001,"Guacamole Regular",NULL,fruit,vegitable,NULL,NULL,"8 oz",Yucatan,Yucatan,RowanWarehouse
4,42084001,"Coffee Original Blend",NULL,coffee,Coffee/Creamer,NULL,NULL,"12 oz",Yuban,Yuban,RowanWarehouse
5,42085001,"GoGurt Variety Pack",NULL,Yogurt,Yogurt,NULL,NULL,"8 ct",Yoplait,Yoplait,RowanWarehouse
6,42086001,"Italian Dressing",NULL,"Salad Dressing","Salad Dressing",NULL,NULL,"16 oz",Wishbone,Wishbone,RowanWarehouse
7,42087001,"Cheeseburger Heat & Serve Sliders",NULL,"contains cheese","contains cheese",NULL,NULL,"29.28 oz","White Castle","White Castle",RowanWarehouse
8,42088001,"Choice Cuts Poultry",NULL,"Pet Food","Pet Food",NULL,NULL,"36 oz",Whiskas,Whiskas,RowanWarehouse
9,42089001,"Farmers Pick Concord Grape",NULL,fruit,fruit,NULL,NULL,"46 oz",Welchs,Welchs,RowanWarehouse
10,42090001,"Juice Red Grape",NULL,juice,Juice,NULL,NULL,"64 oz",Welchs,Welchs,RowanWarehouse
11,42091001,"Cereal Whole Grain Biscuit",NULL,"whole grain","whole grain",NULL,NULL,"15 oz",Weetabix,Weetabix,RowanWarehouse
12,42092001,"Shells & Cheese Microwave Cup",NULL,"contains cheese","Mac & Cheese",NULL,NULL,"2.39 oz",Velveeta,Velveeta,RowanWarehouse
13,42093001,"Shells & Cheese Original",NULL,"contains cheese","Mac & Cheese",NULL,NULL,"12 oz",Velveeta,Velveeta,RowanWarehouse
14,42094001,"Splash Berry Blend",NULL,Juice,Juice,NULL,NULL,"64 oz",V8,V8,RowanWarehouse
15,42095001,"Splash Mango Peach",NULL,Juice,Juice,NULL,NULL,"64 oz",V8,V8,RowanWarehouse
16,42096001,"V-Fusion Berry",NULL,Juice,Juice,NULL,NULL,"8 pkg",V8,V8,RowanWarehouse
17,42097001,"V-Fusion Pomegranate Blueberry",NULL,Juice,Juice,NULL,NULL,"46 oz",V8,V8,RowanWarehouse
18,42098001,"V-Fusion Refreshers Peach Strawberry",NULL,strawberry,Juice,NULL,NULL,"46 oz",V8,V8,RowanWarehouse
19,42099001,"Whole Grain Original Cereal",NULL,"whole grain","whole grain",NULL,NULL,"13 oz","Uncle Sam","Uncle Sam",RowanWarehouse
20,42100001,"Iced Tea Lemon",NULL,tea,tea,NULL,NULL,"128 oz","Turkey Hill","Turkey Hill",RowanWarehouse
21,42101001,"Orange Juice Some Pulp",NULL,juice,Juice,NULL,NULL,"89 oz",Tropicana,Tropicana,RowanWarehouse
22,42102001,"Trop50 Calcium",NULL,Juice,Juice,NULL,NULL,"89 oz",Tropicana,Tropicana,RowanWarehouse
23,42103001,"Tri-State Almonds ",NULL,Nuts,Nuts,NULL,NULL,15.5,Tri-State,Tri-State,RowanWarehouse
24,42104001,"Tri-State Asparagus ",NULL,"Fresh Vegetables","Fresh Vegetables",NULL,NULL,14.8,Tri-State,Tri-State,RowanWarehouse
